A̱o,Fallecidos_predichos
1972,1626.3374916918365
1973,1541.0331829274182
1974,1374.3179139818203
1975,1260.0734062409065
1976,1261.7589029354822
1977,1251.4950525060194
1978,1339.946443395751
1979,1443.6477235910424
1980,1362.5390877368009
1981,1421.0498662145474
1982,1377.0015319001322
1983,1404.2361353149863
1984,1450.522887660365
1985,1017.0554539474651
1986,1086.1821464233253
1987,1164.4206701027979
1988,1280.6128869782988
1989,1404.151564966156
1990,1505.5599927554867
1991,1581.5765070544476
1992,1674.680383467141
1993,1717.4927296300339
1994,1728.4879826954166
1995,1794.914244800897
1996,1894.58635067664
1997,1922.5581132893385
1998,1941.4777873863968
1999,1829.158972515197
2000,1797.4420737399778
2001,1644.8948301911187
2002,1667.4115736244821
2003,1690.2005003238955
2004,1633.5746612219154
2005,1597.4903553355107
2006,1551.5885865281925
2007,1673.4927269706168
2008,1677.858211562725
2009,1550.3305678206198
2010,1573.2584559449351
2011,1513.883419367081
2012,1493.2360162504738
2013,1587.7222754854956
2014,1539.3541680746494
2015,1587.886697416856
2016,1711.2630024480168
2017,1633.118645748622
2018,1552.1553002728833
2019,1552.6760481843485
2020,1463.3769830702186
2021,1676.9078811314212
2022,1718.025633028592
2023,1578.4597462366364
2024,1436.2764149470422
